anchorMethod,assignedNumber,bboxX1,bboxX2,bboxY1,bboxY2,digitScore,explorerX,explorerY,imageX,imageY,source,status,type
pin-bottom-tip,4,1892,1920,183,221,0.67,8577.0,6118.25,1906.0,221,RDO Wildflower Reference Map A,classified,wisteria
pin-bottom-tip,4,1862,1890,227,265,0.695,8442.0,5909.25,1876.0,265,RDO Wildflower Reference Map A,classified,wisteria
pin-bottom-tip,4,1828,1856,258,296,0.7,8289.0,5762.0,1842.0,296,RDO Wildflower Reference Map A,classified,wisteria
pin-bottom-tip,4,1811,1840,383,421,0.694,8214.75,5168.25,1825.5,421,RDO Wildflower Reference Map A,classified,wisteria
pin-bottom-tip,8,1789,1822,431,460,0.711,8124.75,4983.0,1805.5,460,RDO Wildflower Reference Map A,classified,bitterweed
pin-bottom-tip,4,1830,1858,436,474,0.526,8298.0,4916.5,1844.0,474,RDO Wildflower Reference Map A,classified,wisteria
pin-bottom-tip,8,1877,1906,457,495,0.752,8511.75,4816.75,1891.5,495,RDO Wildflower Reference Map A,classified,bitterweed
pin-bottom-tip,8,834,862,467,505,0.789,3816.0,4769.25,848.0,505,RDO Wildflower Reference Map A,classified,bitterweed
pin-bottom-tip,8,952,980,501,539,0.826,4347.0,4607.75,966.0,539,RDO Wildflower Reference Map A,classified,bitterweed
pin-bottom-tip,8,1051,1080,501,539,0.745,4794.75,4607.75,1065.5,539,RDO Wildflower Reference Map A,classified,bitterweed
pin-bottom-tip,6,1846,1874,540,578,0.759,8370.0,4422.5,1860.0,578,RDO Wildflower Reference Map A,classified,wild-rhubarb
pin-bottom-tip,2,1002,1031,564,601,0.682,4574.25,4313.25,1016.5,601,RDO Wildflower Reference Map A,classified,creek-plum
pin-bottom-tip,8,1051,1080,574,612,0.674,4794.75,4261.0,1065.5,612,RDO Wildflower Reference Map A,classified,bitterweed
pin-bottom-tip,8,1787,1816,575,613,0.801,8106.75,4256.25,1801.5,613,RDO Wildflower Reference Map A,classified,bitterweed
pin-bottom-tip,6,1216,1244,599,637,0.735,5535.0,4142.25,1230.0,637,RDO Wildflower Reference Map A,classified,wild-rhubarb
pin-bottom-tip,8,1107,1135,637,675,0.64,5044.5,3961.75,1121.0,675,RDO Wildflower Reference Map A,classified,bitterweed
pin-bottom-tip,5,1771,1799,652,690,0.784,8032.5,3890.5,1785.0,690,RDO Wildflower Reference Map A,classified,cardinal-flower
pin-bottom-tip,5,1719,1748,677,715,0.719,7800.75,3771.75,1733.5,715,RDO Wildflower Reference Map A,classified,cardinal-flower
pin-bottom-tip,1,1792,1821,691,729,0.42,8129.25,3705.25,1806.5,729,RDO Wildflower Reference Map A,classified,blood-flower
pin-bottom-tip,9,1289,1317,704,742,0.763,5863.5,3643.5,1303.0,742,RDO Wildflower Reference Map A,classified,agarita
pin-bottom-tip,1,1482,1523,705,755,0.572,6761.25,3581.75,1502.5,755,RDO Wildflower Reference Map A,classified,blood-flower
pin-bottom-tip,2,1582,1610,705,743,0.789,7182.0,3638.75,1596.0,743,RDO Wildflower Reference Map A,classified,creek-plum
pin-bottom-tip,4,914,942,706,744,0.645,4176.0,3634.0,928.0,744,RDO Wildflower Reference Map A,classified,wisteria
pin-bottom-tip,5,1757,1785,708,746,0.673,7969.5,3624.5,1771.0,746,RDO Wildflower Reference Map A,classified,cardinal-flower
pin-bottom-tip,5,1810,1838,727,765,0.779,8208.0,3534.25,1824.0,765,RDO Wildflower Reference Map A,classified,cardinal-flower
pin-bottom-tip,5,1720,1748,743,781,0.738,7803.0,3458.25,1734.0,781,RDO Wildflower Reference Map A,classified,cardinal-flower
pin-bottom-tip,3,1507,1535,756,794,0.647,6844.5,3396.5,1521.0,794,RDO Wildflower Reference Map A,classified,chocolate-daisy
pin-bottom-tip,1,1798,1827,762,796,0.623,8156.25,3387.0,1812.5,796,RDO Wildflower Reference Map A,classified,blood-flower
pin-bottom-tip,5,1767,1795,763,796,0.66,8014.5,3387.0,1781.0,796,RDO Wildflower Reference Map A,classified,cardinal-flower
pin-bottom-tip,1,1680,1710,764,795,0.721,7627.5,3391.75,1695.0,795,RDO Wildflower Reference Map A,classified,blood-flower
pin-bottom-tip,3,1477,1506,766,804,0.522,6711.75,3349.0,1491.5,804,RDO Wildflower Reference Map A,classified,chocolate-daisy
pin-bottom-tip,2,978,1007,779,817,0.581,4466.25,3287.25,992.5,817,RDO Wildflower Reference Map A,classified,creek-plum
pin-bottom-tip,1,1631,1666,789,817,0.65,7418.25,3287.25,1648.5,817,RDO Wildflower Reference Map A,classified,blood-flower
pin-bottom-tip,3,1506,1534,803,840,0.665,6840.0,3178.0,1520.0,840,RDO Wildflower Reference Map A,classified,chocolate-daisy
pin-bottom-tip,4,984,1012,819,857,0.605,4491.0,3097.25,998.0,857,RDO Wildflower Reference Map A,classified,wisteria
pin-bottom-tip,3,1468,1497,836,874,0.802,6671.25,3016.5,1482.5,874,RDO Wildflower Reference Map A,classified,chocolate-daisy
pin-bottom-tip,1,1776,1804,839,877,0.761,8055.0,3002.25,1790.0,877,RDO Wildflower Reference Map A,classified,blood-flower
pin-bottom-tip,5,1800,1834,862,890,0.718,8176.5,2940.5,1817.0,890,RDO Wildflower Reference Map A,classified,cardinal-flower
pin-bottom-tip,2,1491,1520,882,920,0.639,6774.75,2798.0,1505.5,920,RDO Wildflower Reference Map A,classified,creek-plum
pin-bottom-tip,7,1209,1237,893,930,0.596,5503.5,2750.5,1223.0,930,RDO Wildflower Reference Map A,classified,texas-bluebonnet
pin-bottom-tip,9,1516,1544,917,955,0.754,6885.0,2631.75,1530.0,955,RDO Wildflower Reference Map A,classified,agarita
pin-bottom-tip,7,1188,1222,919,946,0.687,5422.5,2674.5,1205.0,946,RDO Wildflower Reference Map A,classified,texas-bluebonnet
pin-bottom-tip,2,1605,1633,925,963,0.642,7285.5,2593.75,1619.0,963,RDO Wildflower Reference Map A,classified,creek-plum
pin-bottom-tip,1,1748,1776,930,968,0.62,7929.0,2570.0,1762.0,968,RDO Wildflower Reference Map A,classified,blood-flower
pin-bottom-tip,4,869,897,957,995,0.641,3973.5,2441.75,883.0,995,RDO Wildflower Reference Map A,classified,wisteria
pin-bottom-tip,9,1510,1539,957,995,0.71,6860.25,2441.75,1524.5,995,RDO Wildflower Reference Map A,classified,agarita
pin-bottom-tip,1,1778,1809,969,1000,0.539,8070.75,2418.0,1793.5,1000,RDO Wildflower Reference Map A,classified,blood-flower
pin-bottom-tip,7,1112,1140,975,1013,0.703,5067.0,2356.25,1126.0,1013,RDO Wildflower Reference Map A,classified,texas-bluebonnet
pin-bottom-tip,7,1154,1182,980,1018,0.643,5256.0,2332.5,1168.0,1018,RDO Wildflower Reference Map A,classified,texas-bluebonnet
pin-bottom-tip,7,1057,1085,989,1027,0.755,4819.5,2289.75,1071.0,1027,RDO Wildflower Reference Map A,classified,texas-bluebonnet
pin-bottom-tip,4,902,930,993,1031,0.686,4122.0,2270.75,916.0,1031,RDO Wildflower Reference Map A,classified,wisteria
pin-bottom-tip,5,1697,1728,999,1030,0.711,7706.25,2275.5,1712.5,1030,RDO Wildflower Reference Map A,classified,cardinal-flower
pin-bottom-tip,9,1526,1555,1006,1044,0.67,6932.25,2209.0,1540.5,1044,RDO Wildflower Reference Map A,classified,agarita
pin-bottom-tip,5,1747,1779,1017,1048,0.595,7933.5,2190.0,1763.0,1048,RDO Wildflower Reference Map A,classified,cardinal-flower
pin-bottom-tip,4,932,960,1018,1056,0.657,4257.0,2152.0,946.0,1056,RDO Wildflower Reference Map A,classified,wisteria
pin-bottom-tip,6,722,750,1031,1069,0.769,3312.0,2090.25,736.0,1069,RDO Wildflower Reference Map A,classified,wild-rhubarb
