name,sourceX,sourceY,expectedX,expectedY,calculatedX,calculatedY,xResidual,yResidual,distanceError
Colter,1015,100,4567.5,6693.0,4567.5,6693.0,-0.0,0.0,0.0
Wallace Station,1060,500,4770.0,4793.0,4770.0,4793.0,-0.0,0.0,0.0
Strawberry,915,690,4117.5,3890.5,4117.5,3890.5,-0.0,-0.0,0.0
Blackwater,1130,885,5085.0,2964.25,5085.0,2964.25,-0.0,-0.0,0.0
Valentine,1245,520,5602.5,4698.0,5602.5,4698.0,-0.0,0.0,0.0
Emerald Ranch,1615,530,7267.5,4650.5,7267.5,4650.5,-0.0,0.0,0.0
Rhodes,1575,890,7087.5,2940.5,7087.5,2940.5,-0.0,-0.0,0.0
Saint Denis,1828,890,8226.0,2940.5,8226.0,2940.5,0.0,0.0,0.0
Van Horn,1990,515,8955.0,4721.75,8955.0,4721.75,-0.0,0.0,0.0
Annesburg,1835,375,8257.5,5386.75,8257.5,5386.75,-0.0,0.0,0.0
Tumbleweed,255,1265,1147.5,1159.25,1147.5,1159.25,-0.0,-0.0,0.0
Armadillo,635,1110,2857.5,1895.5,2857.5,1895.5,-0.0,-0.0,0.0
MacFarlane's Ranch,800,1110,3600.0,1895.5,3600.0,1895.5,-0.0,-0.0,0.0
Flatneck Station,1230,720,5535.0,3748.0,5535.0,3748.0,-0.0,-0.0,0.0
Braithwaite Manor,1610,1010,7245.0,2370.5,7245.0,2370.5,-0.0,-0.0,0.0
Sisika Island Shoreline,2000,850,9000.0,3130.5,9000.0,3130.5,0.0,0.0,0.0
