candidateId,candidateType,candidateTypeName,candidateCatalogName,candidateX,candidateY,candidateSurveyConfidence,currentClassification,previewStoredClassification,nearestSameTypeId,nearestSameTypeName,nearestSameTypeType,nearestSameTypeDistance,nearestSameTypeStatus,nearestSameTypeConfidence,nearestAnyTypeId,nearestAnyTypeName,nearestAnyTypeType,nearestAnyTypeDistance,nearestAnyTypeStatus,nearestAnyTypeConfidence,nearbyDifferentHerb,anyTypeWithin150NoSameTypeWithin300,candidateTypeKnownInCatalog,possibleDigitMisclassification,possibleExistingMarkerTypeIssue
wildflower-candidate-004,wisteria,Wisteria,Wisteria,7746.941087183064,5178.27958158902,medium,New Survey Target,New Survey Target,cf132cb6-97b6-4fb2-90a3-8c48742c9a90,Wisteria,wisteria,3810.4524237529818,verified,exact,a2982d1a-5877-494b-9338-2fbb299009c7,Violet Snowdrops,violet-snowdrops,88.84234937929212,verified,guess,True,True,True,True,True
wildflower-candidate-008,bitterweed,Bitterweed,Bitterweed,3753.7721458652636,4832.861671920505,medium,New Survey Target,New Survey Target,d20dfd1d-4790-4e45-b076-dbe4fa76e8a3,Bitterweed,bitterweed,498.2601406320935,verified,exact,2a8bd5a1-fde3-4270-9b6d-1b4902fa0d31,Alaskan Ginseng,alaskan-ginseng,20.228327107147265,verified,exact,True,True,True,True,True
wildflower-candidate-015,wild-rhubarb,Wild Rhubarb,Wild Rhubarb,5314.137837573504,4294.974613896013,medium,New Survey Target,New Survey Target,5e6fc983-1adf-488b-8bf7-101070137bfc,Wild Rhubarb,wild-rhubarb,2457.9629418579093,verified,approximate,3fd99e86-b5d9-46fe-908e-f023165dfaf7,Chocolate Daisy,chocolate-daisy,70.25504493459181,verified,exact,True,True,True,True,True
wildflower-candidate-017,cardinal-flower,Cardinal Flower,Cardinal Flower,7581.27591262182,4080.0334320259617,medium,New Survey Target,New Survey Target,,,,,,,e3b994e6-6922-4d4a-8040-89ded0f80e53,Evergreen Huckleberry,evergreen-huckleberry,110.62283591438649,unverified,guess,True,True,True,True,True
wildflower-candidate-018,cardinal-flower,Cardinal Flower,Cardinal Flower,7370.8771288492235,3977.8436856616786,medium,New Survey Target,New Survey Target,,,,,,,fbda7348-6658-4afa-b345-6b0a7026a002,Vanilla Flower,vanilla-flower,60.2257328771154,unverified,exact,True,True,True,True,True
wildflower-candidate-019,blood-flower,Blood Flower,Blood Flower,7669.071466744139,3920.87825763866,medium,New Survey Target,New Survey Target,e52bfdc0-62da-4fd0-86f1-5a21c6201563,Blood Flower,blood-flower,672.0960860699306,unverified,exact,c59f04b0-53cb-41e2-9873-e19b4b5ed9bc,Evergreen Huckleberry,evergreen-huckleberry,38.13054380280954,unverified,exact,True,True,True,True,True
wildflower-candidate-020,agarita,Agarita,Agarita,5612.257015980266,3866.5186267497393,medium,New Survey Target,New Survey Target,,,,,,,209f9a57-31da-4f85-bd9f-44f4198510e1,Chocolate Daisy,chocolate-daisy,13.008186018134362,unverified,exact,True,True,True,True,True
wildflower-candidate-021,blood-flower,Blood Flower,Blood Flower,6427.206240940282,3813.9595010504145,medium,New Survey Target,New Survey Target,e52bfdc0-62da-4fd0-86f1-5a21c6201563,Blood Flower,blood-flower,723.9323017259701,unverified,exact,c4ba2fb1-63a9-41d1-a76f-502a3b3a6891,Hummingbird Sage,hummingbird-sage,22.609295759632886,verified,exact,True,True,True,True,True
wildflower-candidate-024,cardinal-flower,Cardinal Flower,Cardinal Flower,7524.039487855092,3851.388000747518,medium,New Survey Target,New Survey Target,,,,,,,6de8d6c4-cef6-4bf8-895f-3285f3ab6a43,Vanilla Flower,vanilla-flower,57.39607763882061,unverified,exact,True,True,True,True,True
wildflower-candidate-025,cardinal-flower,Cardinal Flower,Cardinal Flower,7740.5294492877765,3773.9597800656697,medium,New Survey Target,New Survey Target,,,,,,,92234f9f-a45a-479e-9e53-9df37c84c7b7,Vanilla Flower,vanilla-flower,34.340245835289444,unverified,exact,True,True,True,True,True
