auditId,detectionId,state,sourceImage,sourcePixelX,sourcePixelY,convertedExplorerX,convertedExplorerY,herbType,legendNumber,sourceLandmark,explorerLandmark,estimatedAlignmentErrorMapUnits,notes
A01,D008,New Austin,RDO Wildflower Reference Map A,848.0,505.0,3816.0,2358.2,bitterweed,8,Central map interior,Central map interior,20-45,Raster-frame alignment check; estimate based on visible nearby roads/coast/settlements.
A02,D163,New Austin,RDO Wildflower Reference Map C,851.0,560.0,3829.5,2615.04,bitterweed,8,Central map interior,Central map interior,20-45,Raster-frame alignment check; estimate based on visible nearby roads/coast/settlements.
A03,D081,New Austin,RDO Wildflower Reference Map B,856.0,466.0,3852.0,2176.08,bitterweed,8,Central map interior,Central map interior,20-45,Raster-frame alignment check; estimate based on visible nearby roads/coast/settlements.
A04,D085,New Austin,RDO Wildflower Reference Map B,865.5,541.0,3894.75,2526.31,bitterweed,8,Central map interior,Central map interior,20-45,Raster-frame alignment check; estimate based on visible nearby roads/coast/settlements.
A05,D159,New Austin,RDO Wildflower Reference Map C,898.0,476.0,4041.0,2222.78,bitterweed,8,Grizzlies / Ambarino north country,Grizzlies / Ambarino north country,20-45,Raster-frame alignment check; estimate based on visible nearby roads/coast/settlements.
A06,D060,West Elizabeth,RDO Wildflower Reference Map A,811.0,1147.0,3649.5,5356.15,wild-rhubarb,6,Armadillo and central New Austin approaches,Armadillo and central New Austin approaches,20-45,Raster-frame alignment check; estimate based on visible nearby roads/coast/settlements.
A07,D170,West Elizabeth,RDO Wildflower Reference Map C,897.5,647.0,4038.75,3021.3,creek-plum,2,Big Valley / Strawberry / Owanjila corridor,Big Valley / Strawberry / Owanjila corridor,20-45,Raster-frame alignment check; estimate based on visible nearby roads/coast/settlements.
A08,D210,West Elizabeth,RDO Wildflower Reference Map C,947.5,1012.0,4263.75,4725.74,wisteria,4,Armadillo and central New Austin approaches,Armadillo and central New Austin approaches,20-45,Raster-frame alignment check; estimate based on visible nearby roads/coast/settlements.
A09,D012,West Elizabeth,RDO Wildflower Reference Map A,1016.5,601.0,4574.25,2806.49,creek-plum,2,Great Plains / Blackwater / Upper Montana River,Great Plains / Blackwater / Upper Montana River,20-45,Raster-frame alignment check; estimate based on visible nearby roads/coast/settlements.
A10,D190,West Elizabeth,RDO Wildflower Reference Map C,1080.0,808.0,4860.0,3773.12,chocolate-daisy,3,Great Plains / Blackwater / Upper Montana River,Great Plains / Blackwater / Upper Montana River,20-45,Raster-frame alignment check; estimate based on visible nearby roads/coast/settlements.
A11,D226,Ambarino,RDO Wildflower Reference Map C,951.5,1212.0,4281.75,5659.68,bitterweed,8,Armadillo and central New Austin approaches,Armadillo and central New Austin approaches,20-45,Raster-frame alignment check; estimate based on visible nearby roads/coast/settlements.
A12,D061,Ambarino,RDO Wildflower Reference Map A,956.0,1152.0,4302.0,5379.5,wild-rhubarb,6,Armadillo and central New Austin approaches,Armadillo and central New Austin approaches,20-45,Raster-frame alignment check; estimate based on visible nearby roads/coast/settlements.
A13,D216,Ambarino,RDO Wildflower Reference Map C,960.0,1132.0,4320.0,5286.11,bitterweed,8,Armadillo and central New Austin approaches,Armadillo and central New Austin approaches,20-45,Raster-frame alignment check; estimate based on visible nearby roads/coast/settlements.
A14,D066,Ambarino,RDO Wildflower Reference Map A,999.5,1203.0,4497.75,5617.66,wild-rhubarb,6,Armadillo and central New Austin approaches,Armadillo and central New Austin approaches,20-45,Raster-frame alignment check; estimate based on visible nearby roads/coast/settlements.
A15,D221,Ambarino,RDO Wildflower Reference Map C,1007.0,1163.0,4531.5,5430.87,bitterweed,8,Armadillo and central New Austin approaches,Armadillo and central New Austin approaches,20-45,Raster-frame alignment check; estimate based on visible nearby roads/coast/settlements.
A16,D048,New Hanover,RDO Wildflower Reference Map A,1126.0,1013.0,5067.0,4730.41,texas-bluebonnet,7,Central map interior,Central map interior,20-45,Raster-frame alignment check; estimate based on visible nearby roads/coast/settlements.
