candidateId,candidateType,candidateTypeName,candidateCatalogName,candidateX,candidateY,candidateSurveyConfidence,currentClassification,previewStoredClassification,nearestSameTypeId,nearestSameTypeName,nearestSameTypeType,nearestSameTypeDistance,nearestSameTypeStatus,nearestSameTypeConfidence,nearestAnyTypeId,nearestAnyTypeName,nearestAnyTypeType,nearestAnyTypeDistance,nearestAnyTypeStatus,nearestAnyTypeConfidence,nearbyDifferentHerb,anyTypeWithin150NoSameTypeWithin300,candidateTypeKnownInCatalog,possibleDigitMisclassification,possibleExistingMarkerTypeIssue
wildflower-candidate-001,wisteria,Wisteria,Wisteria,8075.949766321913,5994.948523384715,medium,New Survey Target,New Survey Target,cf132cb6-97b6-4fb2-90a3-8c48742c9a90,Wisteria,wisteria,4519.067492515601,verified,exact,cee46e36-9789-49d5-b9e9-b4629ead7a9e,Evergreen Huckleberry,evergreen-huckleberry,232.0248202663569,unverified,exact,False,False,True,False,False
wildflower-candidate-002,wisteria,Wisteria,Wisteria,7953.36305524046,5815.249879363518,medium,New Survey Target,New Survey Target,cf132cb6-97b6-4fb2-90a3-8c48742c9a90,Wisteria,wisteria,4316.114135361611,verified,exact,cee46e36-9789-49d5-b9e9-b4629ead7a9e,Evergreen Huckleberry,evergreen-huckleberry,127.8054254573807,unverified,exact,False,True,True,True,True
wildflower-candidate-003,wisteria,Wisteria,Wisteria,7814.447031864739,5688.611070521823,medium,New Survey Target,New Survey Target,cf132cb6-97b6-4fb2-90a3-8c48742c9a90,Wisteria,wisteria,4130.176973136558,verified,exact,258b19e1-1b2d-4ef5-ae93-071451ab95cc,Evergreen Huckleberry,evergreen-huckleberry,223.67881865962727,unverified,exact,False,False,True,False,False
wildflower-candidate-004,wisteria,Wisteria,Wisteria,7746.941087183064,5178.27958158902,medium,New Survey Target,New Survey Target,cf132cb6-97b6-4fb2-90a3-8c48742c9a90,Wisteria,wisteria,3810.4524237529818,verified,exact,a2982d1a-5877-494b-9338-2fbb299009c7,Violet Snowdrops,violet-snowdrops,88.84234937929212,verified,guess,True,True,True,True,True
wildflower-candidate-005,bitterweed,Bitterweed,Bitterweed,7665.20862915383,5019.018118488535,medium,New Survey Target,New Survey Target,d20dfd1d-4790-4e45-b076-dbe4fa76e8a3,Bitterweed,bitterweed,3448.653259589767,verified,exact,a2982d1a-5877-494b-9338-2fbb299009c7,Violet Snowdrops,violet-snowdrops,210.1658363399004,verified,guess,False,False,True,False,False
wildflower-candidate-006,wisteria,Wisteria,Wisteria,7822.470041284201,4961.964329969014,medium,New Survey Target,New Survey Target,cf132cb6-97b6-4fb2-90a3-8c48742c9a90,Wisteria,wisteria,3782.820403872899,verified,exact,a2982d1a-5877-494b-9338-2fbb299009c7,Violet Snowdrops,violet-snowdrops,305.53461706953914,verified,guess,False,False,True,False,False
wildflower-candidate-007,bitterweed,Bitterweed,Bitterweed,8016.490782984496,4876.357395158163,medium,New Survey Target,New Survey Target,d20dfd1d-4790-4e45-b076-dbe4fa76e8a3,Bitterweed,bitterweed,3788.929983630443,verified,exact,a2982d1a-5877-494b-9338-2fbb299009c7,Violet Snowdrops,violet-snowdrops,491.5859468892181,verified,guess,False,False,True,False,False
wildflower-candidate-008,bitterweed,Bitterweed,Bitterweed,3753.7721458652636,4832.861671920505,medium,New Survey Target,New Survey Target,d20dfd1d-4790-4e45-b076-dbe4fa76e8a3,Bitterweed,bitterweed,498.2601406320935,verified,exact,2a8bd5a1-fde3-4270-9b6d-1b4902fa0d31,Alaskan Ginseng,alaskan-ginseng,20.228327107147265,verified,exact,True,True,True,True,True
wildflower-candidate-009,bitterweed,Bitterweed,Bitterweed,4235.775520536411,4694.3652199886255,medium,Already Covered,Already Covered,d20dfd1d-4790-4e45-b076-dbe4fa76e8a3,Bitterweed,bitterweed,4.014770346882135,verified,exact,d20dfd1d-4790-4e45-b076-dbe4fa76e8a3,Bitterweed,bitterweed,4.014770346882135,verified,exact,False,False,True,False,False
wildflower-candidate-010,bitterweed,Bitterweed,Bitterweed,4642.234248466037,4694.6200567828855,medium,New Survey Target,New Survey Target,d20dfd1d-4790-4e45-b076-dbe4fa76e8a3,Bitterweed,bitterweed,410.23744733809184,verified,exact,8a2d23e6-5583-40d6-95de-ef130c198741,Chocolate Daisy,chocolate-daisy,334.13640280784705,verified,exact,False,False,True,False,False
