candidateId,detectionId,candidateType,candidateTypeName,x,y,surveyConfidence,typeReviewStatus,reviewDecision,originalType,reviewedType,classification,nearestSameExportHerbDistance,nearestSameExportHerbId,nearestSameExportHerbType,nearestAnyExportHerbDistance,nearestAnyExportHerbId,nearestAnyExportHerbType,nearestAnyExportHerbName,nearestAnyExportHerbStatus,nearestAnyExportHerbConfidence,suspicionReasons
wildflower-candidate-074,D074,agarita,Agarita,958.9134061609348,1320.3199296267476,medium,confirmed,not-reviewed,agarita,,New Survey Target,,,,310.7,8bb8bfe2-cc6d-4137-b13e-f313144a1eab,parasol-mushroom,Parasol Mushroom,verified,exact,no same-type exported herb exists
wildflower-candidate-209,D223,agarita,Agarita,1453.3541961907174,2117.3670136931787,medium,confirmed,not-reviewed,agarita,,New Survey Target,,,,350.7,0a0a9492-5519-417c-a7ba-8ed497705687,creeping-thyme,Creeping Thyme,verified,exact,no same-type exported herb exists
wildflower-candidate-077,D077,agarita,Agarita,1596.1489016470125,1190.085429972749,medium,confirmed,not-reviewed,agarita,,New Survey Target,,,,339.8,8bb8bfe2-cc6d-4137-b13e-f313144a1eab,parasol-mushroom,Parasol Mushroom,verified,exact,no same-type exported herb exists
wildflower-candidate-076,D076,agarita,Agarita,1833.094484137028,1263.7156271111717,medium,confirmed,not-reviewed,agarita,,New Survey Target,,,,257.6,4632dab8-88f4-432a-a8e5-2d6a62f2838a,english-mace,English Mace,verified,exact,near different exported herb within 300: english-mace (257.6); no same-type exported herb exists
wildflower-candidate-124,D133,agarita,Agarita,1970.9426516843391,2304.2840674636454,medium,confirmed,not-reviewed,agarita,,New Survey Target,,,,254.4,e5d67102-6bd3-4f77-9956-08c973e029a2,wild-rhubarb,Wild Rhubarb,verified,approximate,near different exported herb within 300: wild-rhubarb (254.4); no same-type exported herb exists
wildflower-candidate-200,D213,agarita,Agarita,1972.0713638711065,2477.1885489666083,medium,confirmed,not-reviewed,agarita,,New Survey Target,,,,412.6,e5d67102-6bd3-4f77-9956-08c973e029a2,wild-rhubarb,Wild Rhubarb,verified,approximate,no same-type exported herb exists
wildflower-candidate-133,D142,agarita,Agarita,2357.3588672109377,1855.1592315192784,medium,confirmed,not-reviewed,agarita,,New Survey Target,,,,224.5,65abf68f-d5c3-46ed-a414-4e4fab6040d4,wild-rhubarb,Wild Rhubarb,verified,approximate,near different exported herb within 300: wild-rhubarb (224.5); no same-type exported herb exists
wildflower-candidate-218,D233,agarita,Agarita,2841.083153850577,1405.6315934414843,medium,confirmed,not-reviewed,agarita,,New Survey Target,,,,390.7,ea019f47-bdd8-42e9-9d30-36c3fdc79506,texas-bluebonnet,Texas Bluebonnet,verified,approximate,no same-type exported herb exists
wildflower-candidate-136,D146,agarita,Agarita,2933.708369914727,1692.0807742067736,medium,confirmed,not-reviewed,agarita,,New Survey Target,,,,266.0,e96a1e12-d258-439a-91ee-78e1a5dfb9c7,wild-rhubarb,Wild Rhubarb,verified,exact,near different exported herb within 300: wild-rhubarb (266.0); no same-type exported herb exists
wildflower-candidate-137,D147,agarita,Agarita,3074.779014612095,1532.847842379785,medium,confirmed,not-reviewed,agarita,,New Survey Target,,,,216.7,7c2b8af9-68d9-4b77-af57-e04fc68ef0db,creeping-thyme,Creeping Thyme,verified,exact,near different exported herb within 300: creeping-thyme (216.7); no same-type exported herb exists
